,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,dependency_length,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,predicted_words
15,A report about the Impressionists has won.,A report about the Impressionists have won.,A report about the Impressionists,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,15,pre
16,The grandsons of Douglas chuckle.,The grandsons of Douglas chuckles.,The grandsons of Douglas,chuckle,chuckles,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,16,favour
17,The mothers of Mary seem to shrink.,The mothers of Mary seems to shrink.,The mothers of Mary,seem,seems,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,17,chapter
18,The books about Winston Churchill do look like paintings.,The books about Winston Churchill does look like paintings.,The books about Winston Churchill,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,18,anyone
19,The sketches of some dancer do bore these girls.,The sketches of some dancer does bore these girls.,The sketches of some dancer,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,19,ver
20,The daughter of most actresses is observing Christina.,The daughter of most actresses were observing Christina.,The daughter of most actresses,is,were,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,20,en
21,A story about the Lutherans hasn't won.,A story about the Lutherans haven't won.,A story about the Lutherans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,21,milk
22,The friends of every person do fix some cups.,The friends of every person does fix some cups.,The friends of every person,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,22,literally
23,A father of guys was passing most college campuses.,A father of guys are passing most college campuses.,A father of guys,was,are,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,23,falls
24,The commentaries about music do disgust Kayla.,The commentaries about music does disgust Kayla.,The commentaries about music,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,24,yourself
25,The grandfathers of Diana drink.,The grandfathers of Diana drinks.,The grandfathers of Diana,drink,drinks,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,25,priest
26,The daughters of Wayne don't exit art galleries.,The daughters of Wayne doesn't exit art galleries.,The daughters of Wayne,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,26,chapter
27,The pamphlets about art aggravate Sherry.,The pamphlets about art aggravates Sherry.,The pamphlets about art,aggravate,aggravates,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,27,favour
28,A granddaughter of the Impressionists wasn't lifting a convertible.,A granddaughter of the Impressionists aren't lifting a convertible.,A granddaughter of the Impressionists,wasn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,28,hallway
29,The granddaughters of Walter have boasted about a teenager.,The granddaughters of Walter has boasted about a teenager.,The granddaughters of Walter,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,29,chapter
30,The reports about art are scaring Melissa.,The reports about art was scaring Melissa.,The reports about art,are,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,30,favour
31,A brochure about the Balkans doesn't impress Erin.,A brochure about the Balkans don't impress Erin.,A brochure about the Balkans,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,31,countries
32,The sons of Victoria long to waste away.,The sons of Victoria longs to waste away.,The sons of Victoria,long,longs,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,32,2016
33,The report about the Impressionists hasn't sounded like Joel.,The report about the Impressionists haven't sounded like Joel.,The report about the Impressionists,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,33,lands
34,The commentaries about politics have bothered this senator.,The commentaries about politics has bothered this senator.,The commentaries about politics,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,34,yourself
35,A son of some actors spurs the actress to aggravate the child.,A son of some actors spur the actress to aggravate the child.,A son of some actors,spurs,spur,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,35,t
36,The shows about Monet weren't scaring Liam.,The shows about Monet wasn't scaring Liam.,The shows about Monet,weren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,36,jessica
37,The granddaughters of Michelle do shrug.,The granddaughters of Michelle does shrug.,The granddaughters of Michelle,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,37,priest
38,The painting of a lot of sweaters resembles some drawings.,The painting of a lot of sweaters resemble some drawings.,The painting of a lot of sweaters,resembles,resemble,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,38,yourself
39,The pamphlets about Winston Churchill have resembled those photographs.,The pamphlets about Winston Churchill has resembled those photographs.,The pamphlets about Winston Churchill,have,has,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,39,yourself
40,The drawing of these pants exists.,The drawing of these pants exist.,The drawing of these pants,exists,exist,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,40,priest
41,The grandsons of Theodore are pressuring Steven's supervisors to flee from Maria.,The grandsons of Theodore is pressuring Steven's supervisors to flee from Maria.,The grandsons of Theodore,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,41,infrastructure
42,The granddaughters of Amanda hug Noah.,The granddaughters of Amanda hugs Noah.,The granddaughters of Amanda,hug,hugs,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,42,priest
43,The plays about Harvard University weren't worrying Douglas.,The plays about Harvard University wasn't worrying Douglas.,The plays about Harvard University,weren't,wasn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,43,yourself
44,The stories about literature have irritated Clyde.,The stories about literature has irritated Clyde.,The stories about literature,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,44,priest
45,A story about the Impressionists worries all teachers.,A story about the Impressionists worry all teachers.,A story about the Impressionists,worries,worry,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,45,sing
46,The print of all tomatoes hasn't shocked Barbara.,The print of all tomatoes haven't shocked Barbara.,The print of all tomatoes,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,46,bin
47,A pamphlet about the Borgias aggravates Helen.,A pamphlet about the Borgias aggravate Helen.,A pamphlet about the Borgias,aggravates,aggravate,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,47,estimated
48,The mother of those dancers has researched those documentaries.,The mother of those dancers have researched those documentaries.,The mother of those dancers,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,48,sing
49,The mothers of Cheryl do bake.,The mothers of Cheryl does bake.,The mothers of Cheryl,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,49,2016
50,The paintings of Donna have upset every guest.,The paintings of Donna has upset every guest.,The paintings of Donna,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,50,yourself
51,A book about the Impressionists does resemble every photograph.,A book about the Impressionists do resemble every photograph.,A book about the Impressionists,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,51,favour
52,The brochure about the Impressionists doesn't disturb that girl.,The brochure about the Impressionists don't disturb that girl.,The brochure about the Impressionists,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,52,村
53,The sons of a guy do fail to eat.,The sons of a guy does fail to eat.,The sons of a guy,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,53,sample
54,The mother of the pedestrians isn't arriving at some closets.,The mother of the pedestrians weren't arriving at some closets.,The mother of the pedestrians,isn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,54,ran
55,The report about the Impressionists doesn't disagree with Rose.,The report about the Impressionists don't disagree with Rose.,The report about the Impressionists,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,55,wore
56,The nieces of Gerald were crying.,The nieces of Gerald was crying.,The nieces of Gerald,were,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,56,yourself
57,The reports about Jesus have disappeared.,The reports about Jesus has disappeared.,The reports about Jesus,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,57,priest
58,A daughter of a lot of waiters speaks up.,A daughter of a lot of waiters speak up.,A daughter of a lot of waiters,speaks up,speak up,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,58,did
59,The nieces of Rachel discover this nose.,The nieces of Rachel discovers this nose.,The nieces of Rachel,discover,discovers,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,59,founder
60,The essays about Spain were disgusting Laurie.,The essays about Spain is disgusting Laurie.,The essays about Spain,were,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,60,alabama
61,The father of many pedestrians washes.,The father of many pedestrians wash.,The father of many pedestrians,washes,wash,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,61,founder
62,A painting of most photographs wasn't hurting Becky.,A painting of most photographs weren't hurting Becky.,A painting of most photographs,wasn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,62,ब
63,A sister of some children doesn't swallow.,A sister of some children don't swallow.,A sister of some children,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,63,heavyweight
64,The newspaper articles about Harvard University do disturb Brian.,The newspaper articles about Harvard University does disturb Brian.,The newspaper articles about Harvard University,do,does,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,64,desperate
65,The prints of this icicle upset Stacy.,The prints of this icicle upsets Stacy.,The prints of this icicle,upset,upsets,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,65,priest
66,The book about the Lutherans does sound like Guy.,The book about the Lutherans do sound like Guy.,The book about the Lutherans,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,66,priest
67,The grandmothers of Heather aren't obliging Kathleen to walk through every cafe.,The grandmothers of Heather isn't obliging Kathleen to walk through every cafe.,The grandmothers of Heather,aren't,isn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,67,comedy
68,A father of these patients intends to embarrass Gary.,A father of these patients intend to embarrass Gary.,A father of these patients,intends,intend,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,68,yourself
69,A grandson of most doctors hasn't believed Wayne to walk through a public park.,A grandson of most doctors haven't believed Wayne to walk through a public park.,A grandson of most doctors,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,69,literally
70,The painting of a lot of eggplants has worried Spain.,The painting of a lot of eggplants have worried Spain.,The painting of a lot of eggplants,has,have,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,70,yourself
71,The nieces of the girl negotiate.,The nieces of the girl negotiates.,The nieces of the girl,negotiate,negotiates,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,71,priest
72,The grandmothers of Jennifer do regret Daniel will threaten to go to this art gallery.,The grandmothers of Jennifer does regret Daniel will threaten to go to this art gallery.,The grandmothers of Jennifer,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,72,wore
73,The granddaughters of Anna do describe Gerald.,The granddaughters of Anna does describe Gerald.,The granddaughters of Anna,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,73,priest
74,The report about the Great Lakes is astounding Todd.,The report about the Great Lakes are astounding Todd.,The report about the Great Lakes,is,are,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,74,yourself
75,The shows about Spain do aggravate Christina.,The shows about Spain does aggravate Christina.,The shows about Spain,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,75,priest
76,The photograph of jackets hasn't resembled some print.,The photograph of jackets haven't resembled some print.,The photograph of jackets,hasn't,haven't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,76,yourself
77,The story about the Clintons doesn't hurt Rose.,The story about the Clintons don't hurt Rose.,The story about the Clintons,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,77,favour
78,The cousins of Martin are worrying that guest.,The cousins of Martin is worrying that guest.,The cousins of Martin,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,78,priest
79,The son of some waitresses wasn't wondering who begged Julia to practice.,The son of some waitresses weren't wondering who begged Julia to practice.,The son of some waitresses,wasn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,79,borough
80,A granddaughter of the pedestrians isn't leaving.,A granddaughter of the pedestrians aren't leaving.,A granddaughter of the pedestrians,isn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,80,[unknown]
81,The commentary about the Impressionists hurts Joel.,The commentary about the Impressionists hurt Joel.,The commentary about the Impressionists,hurts,hurt,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,81,favour
82,A daughter of most pedestrians knows Lisa.,A daughter of most pedestrians know Lisa.,A daughter of most pedestrians,knows,know,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,82,yourself
83,A newspaper article about the Balkans isn't bothering a teacher.,A newspaper article about the Balkans weren't bothering a teacher.,A newspaper article about the Balkans,isn't,weren't,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,83,disorder
84,The documentary about the Clintons doesn't upset Lawrence.,The documentary about the Clintons don't upset Lawrence.,The documentary about the Clintons,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,84,behind
85,The brochures about Galileo were vanishing.,The brochures about Galileo was vanishing.,The brochures about Galileo,were,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,85,yourself
86,The newspaper articles about Galileo appear.,The newspaper articles about Galileo appears.,The newspaper articles about Galileo,appear,appears,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,86,yourself
87,The picture of many college campuses does look like drawings.,The picture of many college campuses do look like drawings.,The picture of many college campuses,does,do,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,87,lovely
88,The show about the Borgias hasn't annoyed Mark.,The show about the Borgias haven't annoyed Mark.,The show about the Borgias,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,88,lands
89,The brochures about Winston Churchill don't win.,The brochures about Winston Churchill doesn't win.,The brochures about Winston Churchill,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,89,95
90,A commentary about the Clintons doesn't disagree.,A commentary about the Clintons don't disagree.,A commentary about the Clintons,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,90,hispanic
91,The essays about Spain hurt Brenda.,The essays about Spain hurts Brenda.,The essays about Spain,hurt,hurts,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,91,favour
92,The daughters of Charles do think about what darkens.,The daughters of Charles does think about what darkens.,The daughters of Charles,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,92,anyone
93,The print of many doctors hasn't upset Wendy.,The print of many doctors haven't upset Wendy.,The print of many doctors,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,93,lands
94,The pictures of Cindy don't waste away.,The pictures of Cindy doesn't waste away.,The pictures of Cindy,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,94,the
95,The grandson of the teachers isn't singing.,The grandson of the teachers weren't singing.,The grandson of the teachers,isn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,95,dubbed
96,The nephew of many waiters learns.,The nephew of many waiters learn.,The nephew of many waiters,learns,learn,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,96,yourself
97,The reports about politics don't stun libraries.,The reports about politics doesn't stun libraries.,The reports about politics,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,97,alabama
98,A daughter of these actors does dare Randolf to discover this mountain.,A daughter of these actors do dare Randolf to discover this mountain.,A daughter of these actors,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,98,deliver
99,The plays about Spain don't bother Holly.,The plays about Spain doesn't bother Holly.,The plays about Spain,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,99,dubbed
100,The essays about Jesus weren't shocking Monet.,The essays about Jesus wasn't shocking Monet.,The essays about Jesus,weren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,100,pet
101,A story about the Impressionists bothers Scott.,A story about the Impressionists bother Scott.,A story about the Impressionists,bothers,bother,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,101,[unknown]
102,The commentaries about politics do distract Carol.,The commentaries about politics does distract Carol.,The commentaries about politics,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,102,yourself
103,The commentary about the Clintons hasn't irritated Cindy.,The commentary about the Clintons haven't irritated Cindy.,The commentary about the Clintons,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,103,lands
104,A drawing of many peppers doesn't hurt Lisa.,A drawing of many peppers don't hurt Lisa.,A drawing of many peppers,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,104,ran
105,The daughter of those women anticipates a jacket to shrink.,The daughter of those women anticipate a jacket to shrink.,The daughter of those women,anticipates,anticipate,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,105,anyone
106,The daughters of Bruce don't beg Aaron to compromise.,The daughters of Bruce doesn't beg Aaron to compromise.,The daughters of Bruce,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,106,chapter
107,The books about Galileo are annoying Sandra.,The books about Galileo is annoying Sandra.,The books about Galileo,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,107,yourself
108,A commentary about the Balkans hasn't alarmed many ladies.,A commentary about the Balkans haven't alarmed many ladies.,A commentary about the Balkans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,108,chapter
109,The pictures of Walter do disturb Mary.,The pictures of Walter does disturb Mary.,The pictures of Walter,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,109,yourself
110,The book about the Lutherans wastes away.,The book about the Lutherans waste away.,The book about the Lutherans,wastes away,waste away,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,110,settled
111,The book about the Great Lakes worries Theresa.,The book about the Great Lakes worry Theresa.,The book about the Great Lakes,worries,worry,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,111,favour
112,A pamphlet about the Lutherans does alarm Nicole.,A pamphlet about the Lutherans do alarm Nicole.,A pamphlet about the Lutherans,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,112,[unknown]
113,A painting of some horses has disturbed Steven.,A painting of some horses have disturbed Steven.,A painting of some horses,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,113,favour
114,The picture of the shirts isn't astounding Frank.,The picture of the shirts weren't astounding Frank.,The picture of the shirts,isn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,114,ᆨ
115,The fathers of Anne depart.,The fathers of Anne departs.,The fathers of Anne,depart,departs,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,115,priest
116,A movie about the Great Lakes embarrasses Jacqueline.,A movie about the Great Lakes embarrass Jacqueline.,A movie about the Great Lakes,embarrasses,embarrass,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,116,e
117,The print of all teenagers doesn't look like this photograph.,The print of all teenagers don't look like this photograph.,The print of all teenagers,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,117,chapter
118,The photographs of Florence haven't disappeared.,The photographs of Florence hasn't disappeared.,The photographs of Florence,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,118,yourself
119,The nieces of Ellen do regret some guy isn't spinning around.,The nieces of Ellen does regret some guy isn't spinning around.,The nieces of Ellen,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,119,hallway
120,The grandfather of most drivers hasn't failed to fire Eric.,The grandfather of most drivers haven't failed to fire Eric.,The grandfather of most drivers,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,120,hallway
121,The plays about art have alarmed Mitchell.,The plays about art has alarmed Mitchell.,The plays about art,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,121,yourself
122,The grandsons of Janet speak up.,The grandsons of Janet speaks up.,The grandsons of Janet,speak up,speaks up,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,122,yourself
123,A pamphlet about the Balkans hasn't astounded Monica.,A pamphlet about the Balkans haven't astounded Monica.,A pamphlet about the Balkans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,123,hallway
124,The grandmothers of James don't boycott the lake.,The grandmothers of James doesn't boycott the lake.,The grandmothers of James,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,124,david
125,The grandson of a lot of customers is cleaning a restaurant.,The grandson of a lot of customers were cleaning a restaurant.,The grandson of a lot of customers,is,were,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,125,anderson
126,The drawings of this spinach are appearing.,The drawings of this spinach was appearing.,The drawings of this spinach,are,was,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,126,yourself
127,The movies about Monet aren't impressing a driver.,The movies about Monet wasn't impressing a driver.,The movies about Monet,aren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,127,fa
128,The nieces of Tanya don't boycott committees.,The nieces of Tanya doesn't boycott committees.,The nieces of Tanya,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,128,chapter
129,A brother of most drivers doesn't study.,A brother of most drivers don't study.,A brother of most drivers,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,129,founder
130,The stories about Galileo do hurt Caroline.,The stories about Galileo does hurt Caroline.,The stories about Galileo,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,130,favour
131,The grandmothers of Emily don't propose to play.,The grandmothers of Emily doesn't propose to play.,The grandmothers of Emily,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,131,patients
132,The plays about travel confuse Veronica.,The plays about travel confuses Veronica.,The plays about travel,confuse,confuses,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,132,yourself
133,The documentaries about Monet were distracting most universities.,The documentaries about Monet is distracting most universities.,The documentaries about Monet,were,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,133,cdp
134,The grandmother of a lot of dancers replies.,The grandmother of a lot of dancers reply.,The grandmother of a lot of dancers,replies,reply,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,134,yourself
135,The photographs of Marie are boring Winston Churchill.,The photographs of Marie is boring Winston Churchill.,The photographs of Marie,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,135,2016
136,A granddaughter of the Impressionists flees from Sabrina.,A granddaughter of the Impressionists flee from Sabrina.,A granddaughter of the Impressionists,flees from,flee from,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,136,yourself
137,A commentary about the Impressionists hasn't embarrassed Jane.,A commentary about the Impressionists haven't embarrassed Jane.,A commentary about the Impressionists,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,137,desperate
